Media Time (seconds),Attention (%),Valence (%),Arousal (%)
18.616812,56.99999999999999,32.0,30.5
18.645409,56.99999999999999,32.0,31.0
18.673379,56.99999999999999,32.0,31.0
18.700678,56.99999999999999,32.0,31.0
18.728559,56.99999999999999,32.0,31.5
18.756409,56.99999999999999,32.0,31.5
18.783751,57.99999999999999,32.0,31.5
18.811574,57.99999999999999,31.5,32.0
18.839786,57.99999999999999,31.5,32.0
18.865815,59.0,31.0,32.0
18.893339,59.0,31.0,32.5
18.919887,60.0,30.5,32.5
18.946975,60.0,30.5,32.5
18.975376,60.0,30.5,32.5
19.001045,61.0,30.0,32.5
19.028767,61.0,30.0,32.5
19.057235,61.0,30.0,32.5
19.084714,62.0,30.0,32.5
19.112182,62.0,30.0,32.5
19.139451,62.0,30.0,32.99999999999999
19.168526,63.0,30.0,32.99999999999999
19.195842,63.0,30.0,32.99999999999999
19.223103,64.0,30.0,32.99999999999999
19.252347,65.0,30.0,33.5
19.280616,65.0,30.0,34.0
19.309711,66.0,30.0,34.0
19.335865,67.0,30.0,34.5
19.363996,67.0,30.0,34.5
19.392857,68.0,30.5,34.5
19.427871,68.0,30.5,34.5
19.454192,68.0,31.0,34.5
19.48263,69.0,31.0,35.0
19.508328,69.0,31.5,34.5
19.535271,69.0,31.5,34.5
19.562344,69.0,31.5,34.5
19.589245,69.0,31.5,34.5
19.616795,70.0,31.5,34.5
19.643663,70.0,31.5,34.5
19.670397,70.0,31.0,34.5
19.701045,70.0,31.0,34.5
19.728636,70.0,31.0,34.5
19.757837,71.0,31.0,35.0
19.784925,71.0,30.5,35.0
19.811323,72.0,30.5,35.0
19.838127,72.0,30.5,35.0
19.867792,72.0,30.5,35.0
19.896742,72.0,30.5,35.0
19.926382,72.0,31.0,34.5
19.952257,72.0,31.0,34.5
19.980312,72.0,31.0,34.5
20.006897,72.0,31.0,34.5
20.036102,73.0,31.0,34.5
20.064319,73.0,31.0,34.5
20.092139,73.0,31.0,34.5
20.117304,73.0,31.0,34.5
20.144254,73.0,31.0,34.5
20.17106,74.0,31.0,35.0
20.198441,74.0,31.0,35.0
20.227477,74.0,31.0,35.0
20.255419,75.0,31.0,35.0
20.282915,75.0,31.0,35.0
20.318597,75.0,31.5,35.5
20.345979,75.0,31.5,35.0
20.373719,75.0,31.5,35.5
20.400287,75.0,31.5,35.5
20.431404,75.0,32.0,35.5
20.468785,76.0,31.5,35.5
20.499844,76.0,32.0,35.5
20.529978,76.0,32.0,35.5
20.559552,76.0,31.5,36.0
20.588623,77.0,32.0,36.0
20.617619,77.0,32.0,36.0
20.646484,77.0,31.5,36.5
20.67622,77.0,32.0,36.5
20.704621,77.0,32.0,36.5
20.732696,78.0,31.5,36.5
20.759651,78.0,31.5,36.5
20.789748,78.0,31.5,37.0
20.817729,79.0,31.5,37.0
20.846723,79.0,31.5,37.0
20.873766,79.0,32.0,37.0
20.901854,79.0,32.0,37.5
20.929186,79.0,32.0,37.5
20.957159,79.0,32.0,37.5
20.983464,80.0,32.0,37.5
21.011745,80.0,32.0,37.5
21.038014,80.0,32.0,37.5
21.064222,81.0,32.0,37.5
21.091435,81.0,32.0,37.5
21.120175,81.0,32.0,38.0
21.146518,82.0,32.0,38.0
21.174148,82.0,31.5,38.5
21.203062,83.0,31.5,38.5
21.241407,83.0,31.5,39.0
21.271444,84.0,31.0,39.5
21.298661,85.0,31.0,40.0
21.328394,85.0,31.0,40.0
21.354842,86.0,31.0,40.0
21.384146,87.0,31.0,40.0
21.411686,87.0,31.0,40.0
21.438513,87.0,31.0,40.0
21.466056,87.0,30.5,39.5
21.493303,88.0,31.0,39.5
21.519957,88.0,30.5,39.5
21.545674,88.0,31.0,39.0
21.57171,88.0,31.0,39.0
21.598589,88.0,31.0,38.5
21.626518,88.0,31.0,38.5
21.653683,88.0,31.0,38.0
21.680939,88.0,31.5,38.0
21.70827,88.0,31.5,38.0
21.735115,88.0,31.5,37.5
21.763156,88.0,31.5,37.5
21.791328,88.0,32.0,37.0
21.81952,88.0,32.0,37.0
21.846905,87.0,32.0,36.5
21.873708,87.0,32.0,36.5
21.902304,87.0,32.0,36.5
21.929259,88.0,32.0,36.5
21.956378,87.0,32.0,36.5
21.98323,88.0,32.0,36.5
22.008584,88.0,32.5,36.5
22.036036,88.0,32.0,36.5
22.065961,88.0,32.5,36.5
22.093702,88.0,32.5,36.5
22.127252,88.0,32.5,36.5
22.153684,88.0,32.5,36.0
22.180606,87.0,32.5,36.0
22.207546,87.0,32.5,36.0
22.23607,87.0,32.5,36.0
22.263683,87.0,32.0,36.0
22.293295,88.0,32.0,36.0
22.321075,88.0,32.0,36.5
22.347446,88.0,32.0,36.5
22.373905,88.0,32.0,36.5
22.401707,88.0,32.0,36.5
22.430619,88.0,32.0,36.5
22.456907,88.0,32.0,36.5
