Media Time (seconds),Attention (%),Valence (%),Arousal (%)
21.059382,98.0,34.0,41.0
21.091078,98.0,34.0,41.0
21.122376,98.0,34.0,41.5
21.152436,98.0,34.0,42.0
21.180206,98.0,34.0,42.5
21.208117,98.0,34.0,42.5
21.23654,99.0,34.0,42.5
21.264377,99.0,34.0,43.0
21.293274,99.0,34.0,43.0
21.32176,99.0,34.0,43.0
21.352912,99.0,34.5,43.0
21.38311,99.0,34.5,43.5
21.412869,99.0,35.0,43.5
21.441344,99.0,35.0,44.0
21.469572,99.0,35.0,44.0
21.498513,99.0,35.0,44.0
21.527534,99.0,35.0,43.5
21.557867,99.0,35.0,43.5
21.587926,99.0,35.0,43.0
21.616435,98.0,35.0,42.5
21.64385,98.0,35.0,42.5
21.672133,98.0,35.0,42.5
21.702289,99.0,35.0,42.0
21.733678,98.0,35.0,42.0
21.763607,99.0,35.0,42.0
21.790867,99.0,35.0,42.0
21.818803,99.0,35.5,42.0
21.846098,99.0,35.5,42.0
21.872688,99.0,35.5,42.0
21.899608,99.0,35.5,42.0
21.926241,99.0,35.5,42.0
21.953802,99.0,35.5,42.0
21.979474,99.0,35.0,42.0
22.004416,99.0,35.0,42.0
22.031231,99.0,35.0,42.0
22.057651,99.0,35.0,42.0
22.08828,99.0,35.0,42.0
22.117892,99.0,34.5,42.0
22.146349,99.0,34.5,41.5
22.177175,99.0,34.5,41.5
22.20808,99.0,34.0,41.5
22.237213,99.0,34.0,41.5
22.268584,99.0,34.0,41.5
22.29981,99.0,33.5,41.5
22.330591,99.0,33.5,41.5
22.361012,99.0,33.5,41.5
22.391322,99.0,33.5,41.5
22.423586,99.0,33.5,41.0
22.455361,99.0,34.0,41.0
22.489125,99.0,33.5,41.5
22.520812,99.0,33.5,41.5
22.553126,99.0,34.0,41.5
22.58725,99.0,34.0,41.5
22.617586,99.0,34.0,41.5
22.650713,99.0,34.0,41.0
22.680956,99.0,34.0,40.5
22.712394,98.0,34.0,40.5
22.74362,98.0,34.5,40.0
22.774991,98.0,34.0,40.0
22.802763,98.0,34.5,39.5
22.831536,98.0,34.5,40.0
22.861199,98.0,34.0,40.0
22.892126,98.0,34.0,40.0
22.922737,98.0,34.0,40.0
22.956344,98.0,34.5,40.0
22.987305,98.0,34.5,40.0
23.019133,98.0,34.5,39.5
23.048089,97.0,35.0,39.0
23.07804,97.0,35.0,39.0
23.108275,97.0,35.0,39.0
23.137906,97.0,35.0,39.0
23.167526,97.0,35.5,39.0
23.196852,97.0,35.0,39.0
23.225974,97.0,35.0,39.0
23.259192,97.0,35.0,39.5
23.289132,97.0,35.0,39.0
23.318443,97.0,35.0,39.5
23.346511,97.0,35.0,39.5
23.376449,97.0,35.5,39.5
23.405718,98.0,35.5,40.0
23.436861,98.0,36.0,40.5
23.46723,98.0,36.0,41.0
23.497181,98.0,36.0,41.0
23.526274,98.0,36.0,41.0
23.558418,98.0,36.0,41.0
23.588622,98.0,35.5,41.0
23.617218,98.0,35.5,41.5
23.646587,98.0,35.5,41.5
23.676217,98.0,35.5,42.0
23.704251,98.0,35.5,42.0
23.732619,98.0,35.5,42.0
23.761018,99.0,36.0,41.5
23.790346,98.0,36.0,41.5
23.822263,98.0,36.0,41.5
23.852148,99.0,36.0,41.5
23.881576,99.0,36.0,41.5
23.910514,99.0,36.5,41.5
23.939252,99.0,36.0,41.5
23.968856,99.0,36.0,41.5
23.99824,99.0,36.5,41.5
24.02779,99.0,36.5,41.5
24.057475,99.0,37.0,41.0
24.087921,99.0,37.0,41.5
24.119184,99.0,37.0,41.5
24.148894,99.0,37.0,41.5
24.178474,99.0,37.5,41.5
24.208814,99.0,37.5,41.5
24.239187,99.0,37.5,41.5
24.268608,99.0,38.0,41.5
24.300039,99.0,38.0,42.0
24.329728,99.0,37.5,42.5
24.362627,99.0,38.0,42.5
24.397045,99.0,38.0,43.0
24.428804,99.0,38.5,43.0
24.460204,99.0,38.5,43.0
24.493597,99.0,38.5,43.5
24.524788,99.0,38.5,43.0
24.558303,99.0,38.5,43.0
24.589895,99.0,38.5,43.0
24.622276,99.0,39.0,43.0
24.653553,99.0,39.0,43.0
24.681328,99.0,38.5,42.5
24.710506,99.0,38.5,42.5
24.739854,99.0,38.5,42.5
